RTO Code,City,District
TS13,Hyderabad West,Hyderabad
TS14,Reserved for Hyderabad,Hyderabad
TS15,Sangareddy,Sangareddy
TS16,Nizamabad,Nizamabad
TS17,Kamareddy,Kamareddy
TS18,Nirmal,Nirmal
TS19,Mancherial,Mancherial
TS20,Komaram Bheem Asifabad,Komaram Bheem Asifabad
TS21,Jagtial,Jagtial
TS22,Peddapalli,Peddapalli
TS23,Sircilla,Rajanna Sircilla
TS24,Warangal Rural,Warangal
TS25,Jayashankar Bhupalpally,Jayashankar Bhupalpally
TS26,Mahabubabad,Mahabubabad
TS27,Jangaon,Jangaon
TS28,Bhadradri Kothagudem,Bhadradri Kothagudem
TS29,Suryapet,Suryapet
TS30,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri
TS31,Nagarkurnool,Nagarkurnool
TS32,Wanaparthy,Wanapavarathay
TS33,Jogulamba Gadwal,Jogulamba Gadwal
TS34,Vikarabad,Vikarabad
TS35,Medak,Medak
TS36,Siddipet,Siddipet
TS37,Mulugu,Mulugu
TS38,Narayanpet,Narayanpet
MH1,Mumbai (South - Tardeo),Mumbai City (South)
MH2,Mumbai (West - Andheri),Mumbai Suburban
MH3,Mumbai (East - Wadala/Ghatkopar),Mumbai Suburban
MH4,Thane,Thane
MH5,Kalyan,Thane
MH6,Pen (Raigad),Raigad
MH7,Sindhudurg Nagari (Oros),Sindhudurg
MH8,Ratnagiri,Ratnagiri
MH9,Kolhapur,Kolhapur
MH10,Sangli,Sangli
MH11,Satara,Satara
MH12,Pune,Pune
MH13,Solapur,Solapur
MH14,Pimpri-Chinchwad,Pune
MH15,Nashik,Nashik
MH16,Ahmednagar,Ahmednagar
MH17,Shrirampur,Ahmednagar
MH18,Dhule,Dhule
MH19,Jalgaon,Jalgaon
MH20,Aurangabad,Chhatrapati Sambhajinagar (Aurangabad)
MH21,Jalna,Jalna
MH22,Parbhani,Parbhani
MH23,Beed,Beed
MH24,Latur,Latur
MH25,Osmanabad,Dharashiv (Osmanabad)
MH26,Nanded,Nanded
MH27,Amravati,Amravati
MH28,Buldhana,Buldhana
MH29,Yavatmal,Yavatmal
MH30,Akola,Akola
MH31,Nagpur,Nagpur
MH32,Wardha,Wardha
MH33,Gadchiroli,Gadchiroli
MH34,Chandrapur,Chandrapur
MH35,Gondia,Gondia
MH36,Bhandara,Bhandara
MH37,Washim,Washim
MH38,Hingoli,Hingoli
MH39,Nandurbar,Nandurbar
MH40,Nagpur Rural (Wadi),Nagpur
MH41,Malegaon,Nashik
MH42,Baramati,Pune
MH43,Vashi (Navi Mumbai),Thane / Navi Mumbai
MH44,Ambajogai,Beed
MH45,Akluj,Solapur
MH46,Panvel,Raigad
MH47,Borivali,Mumbai Suburban
MH48,Vasai-Virar,Palghar
MH49,Nagpur East,Nagpur
MH50,Karad,Satara
MH51,Sangamner,Ahmednagar
MH52,Parbhani (Rural),Parbhani
MH53,Pune South,Pune
MH54,Pune North,Pune
MH55,Mumbai Central (Tardeo),Mumbai City
MH56,Thane Rural,Thane
MH57,Nashik East,Nashik
MH58,Wardha Rural,Wardha
OD1,Balasore,Balasore
OD2,Bhubaneswar,Khordha
OD3,Bolangir,Bolangir
OD4,Chandikhol,Jajpur
OD5,Cuttack,Cuttack
OD6,Dhenkanal,Dhenkanal
OD7,Ganjam (Chhatrapur),Ganjam
OD8,Kalahandi (Bhawanipatna),Kalahandi
OD9,Keonjhar,Keonjhar
OD10,Koraput,Koraput
OD11,Mayurbhanj (Baripada),Mayurbhanj
OD12,Phulbani (Kandhamal),Kandhamal
OD13,Puri,Puri
OD14,Rourkela,Sundargarh
OD15,Sambalpur,Sambalpur
